DATE,BAMLH0A3HYCEY
2020-02-03,11.84
2020-02-04,11.66
2020-02-05,11.57
2020-02-06,11.38
2020-02-07,11.32
2020-02-10,11.39
2020-02-11,11.38
2020-02-12,11.32
2020-02-13,11.27
2020-02-14,11.24
2020-02-17,11.24
2020-02-18,11.33
2020-02-19,11.27
2020-02-20,11.25
2020-02-21,11.19
2020-02-24,11.63
2020-02-25,11.69
2020-02-26,11.83
2020-02-27,12.27
2020-02-28,12.62
2020-02-29,12.81
2020-03-02,12.59
2020-03-03,12.44
2020-03-04,12.41
2020-03-05,12.76
2020-03-06,13.48
2020-03-09,14.61
2020-03-10,14.28
2020-03-11,14.69
2020-03-12,15.85
2020-03-13,15.70
2020-03-16,16.65
2020-03-17,16.85
2020-03-18,18.04
2020-03-19,18.88
2020-03-20,19.17
2020-03-23,19.93
2020-03-24,19.84
2020-03-25,19.41
2020-03-26,18.34
2020-03-27,17.89
2020-03-30,17.73
2020-03-31,18.21
2020-04-01,18.83
2020-04-02,18.87
2020-04-03,19.42
2020-04-06,19.30
2020-04-07,18.93
2020-04-08,18.88
2020-04-09,17.81
2020-04-10,.
2020-04-13,17.53
2020-04-14,16.95
2020-04-15,17.04
2020-04-16,16.95
2020-04-17,16.53
2020-04-20,16.74
2020-04-21,17.05
2020-04-22,16.97
2020-04-23,17.10
2020-04-24,17.25
2020-04-27,17.31
2020-04-28,17.34
2020-04-29,17.21
2020-04-30,18.09
2020-05-01,18.22
2020-05-04,18.32
2020-05-05,18.13
2020-05-06,18.22
2020-05-07,18.14
2020-05-08,18.14
2020-05-11,18.23
2020-05-12,17.95
2020-05-13,18.05
2020-05-14,18.10
2020-05-15,18.12
2020-05-18,17.86
2020-05-19,17.77
2020-05-20,17.50
2020-05-21,17.44
2020-05-22,17.41
2020-05-25,17.44
2020-05-26,17.14
2020-05-27,16.95
2020-05-28,16.71
2020-05-29,16.74
2020-05-31,15.41
2020-06-01,15.22
2020-06-02,14.73
2020-06-03,14.09
2020-06-04,14.09
2020-06-05,13.64
2020-06-08,13.58
2020-06-09,13.67
2020-06-10,13.73
2020-06-11,14.34
2020-06-12,14.27
2020-06-15,14.31
2020-06-16,13.86
2020-06-17,13.84
2020-06-18,14.00
2020-06-19,13.97
2020-06-22,13.99
2020-06-23,14.01
2020-06-24,14.39
2020-06-25,14.50
2020-06-26,14.64
2020-06-29,14.74
2020-06-30,14.46
2020-07-01,14.38
2020-07-02,14.21
2020-07-03,14.21
2020-07-06,14.07
2020-07-07,14.06
2020-07-08,14.09
2020-07-09,14.11
2020-07-10,14.14
2020-07-13,13.96
2020-07-14,13.90
2020-07-15,13.66
2020-07-16,13.61
2020-07-17,13.64
2020-07-20,13.52
2020-07-21,13.17
2020-07-22,13.07
2020-07-23,13.05
2020-07-24,13.11
2020-07-27,13.10
2020-07-28,13.09
2020-07-29,12.96
2020-07-30,12.84
2020-07-31,12.64
2020-08-03,12.54
2020-08-04,12.55
2020-08-05,12.42
2020-08-06,12.42
2020-08-07,12.40
2020-08-10,12.51
2020-08-11,12.40
2020-08-12,12.49
2020-08-13,12.51
2020-08-14,12.60
2020-08-17,12.61
2020-08-18,12.57
2020-08-19,12.56
2020-08-20,12.57
2020-08-21,12.51
2020-08-24,12.40
2020-08-25,12.27
2020-08-26,12.19
2020-08-27,12.12
2020-08-28,12.09
2020-08-31,11.95
2020-09-01,11.87
2020-09-02,11.81
2020-09-03,11.86
2020-09-04,12.01
2020-09-07,12.02
2020-09-08,12.16
2020-09-09,12.03
2020-09-10,12.01
2020-09-11,12.00
2020-09-14,11.84
2020-09-15,11.79
2020-09-16,11.56
2020-09-17,11.58
2020-09-18,11.57
2020-09-21,11.94
2020-09-22,11.94
2020-09-23,12.01
2020-09-24,12.21
2020-09-25,12.23
2020-09-28,12.06
2020-09-29,11.92
2020-09-30,11.80
2020-10-01,11.77
2020-10-02,11.76
2020-10-05,11.62
2020-10-06,11.49
