,public_date,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
58986,2021-12-31,0.2450912045883569,20.082963409903893,1.4193968406683206,15.493901650648624,0.2080139094091593,0.05895389624123377,0.5569775081678743,0.9243691640166811,407.69954629474046,0.3838239642011363
59642,2021-12-31,0.07529520455004764,2.9008810572687223,1.0052269924237975,2.6872246696035242,0.7643982210523815,0.09466139396935244,0.7566484619203793,5.938075153374233,11.484816753926701,0.2679861396605391
59821,2021-12-31,0.02205501255297798,,,,0.769688715372389,0.2138186958826648,0.888563466787989,2.677583333333333,0.2043900683699172,
60631,2021-12-31,0.2548426248078324,17.2,1.8626280623608018,14.302439024390244,0.06360123512044422,0.191354992632096,0.7840056435580068,1.9975869951739904,5.936725254394079,0.8100668151447662
61218,2021-12-31,0.2301038320263896,23.32657200811359,1.627762237085362,22.40162271805274,0.4296742033402963,0.2689043504855111,0.4632699529916713,1.0694176435010512,2.567930423034704,1.023917609594146
61973,2021-12-31,0.08516559537645375,3.6258823529411766,1.258572999633419,3.7294117647058824,0.5703802066706867,0.05943840951014552,0.7291522310134232,5.057185295209803,7.935558706018817,0.1902556070250275
62293,2021-12-31,0.09984520877344989,4.979369627507164,0.8503281628924015,3.594713656387665,0.1784057110888219,0.05896907806287365,0.8544997884585681,4.320657826313052,18.522267206477732,0.2829523240113127
63098,2021-12-31,0.1024476019637462,7.992303463441452,0.9899041815044607,4.88785046728972,0.219727807449877,0.07173432333191325,0.8198891244746072,2.97858829627923,,0.2641828599829996
63285,2021-12-31,0.07774823675088482,4.673969673093312,1.175947306788243,1.9953086558716173,0.7061653035130087,0.02502144248961074,0.4709403637149854,5.041385216166333,2.7548353943974835,0.2733197635632125
64273,2021-12-31,0.09699372608150557,14.549921610693952,1.2860014754243405,7.422724647248123,0.3602829178109407,0.0331394447822096,0.5467275179703086,2.921921357474845,,0.3198047679633537
65056,2021-12-31,0.181587828110063,114.5,1.0656121218665082,86.14285714285714,0.1820996560296055,0.1955252280034118,0.6174701579675702,1.0805689458328047,2.218435009928864,0.6365119641046867
65596,2021-12-31,0.3179975836383607,17.854384527756093,1.8796060081963482,18.446862160328692,0.08838496836230184,0.3652410947980372,0.6770119416387337,1.134903811232541,1.7367657022764804,1.1363301315207852
65852,2021-12-31,0.1282054785162921,7.915611814345992,0.4525196621031168,6.3164556962025316,0.1878962857410701,0.08857644991212654,0.7911392405063291,3.4981884057971016,6.734006734006734,0.08063889698028935
65980,2021-12-31,0.09277045484032724,2.9880239520958085,0.598561430793157,2.1669993346640055,0.8054140499751135,0.114640522875817,0.5429264017865977,5.0767311762927125,21.851572327044025,0.2371695178849145
66332,2021-12-31,0.0834138454113569,3.743062966915689,0.4626732393596181,3.3407150480256145,0.7943756259324175,0.1578161539845296,0.6784033889718286,4.74384370641562,6.278378768210012,0.06474892252180013
