gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio,long_term_credit_rating,rating,gsector_15.0,gsector_20.0,gsector_25.0,gsector_30.0,gsector_35.0,gsector_40.0,gsector_45.0,gsector_50.0,gsector_55.0
Health Care,2017-02-28,PKI,0.0961985214221806,7.371628780581777,1.5630665197106182,6.194230398767097,0.3851405185899119,0.1019637280154213,0.4964391796165392,2.576762923509176,3.8995727973825662,0.5954454674279652,BBB,1,0,0,0,0,1,0,0,0,0
Utilities,2017-02-28,BKH,0.1010274421725288,2.688179669030733,0.6811559064424965,1.5227451823196505,0.6566732628240669,0.0463898322540614,0.7337972669245565,5.872079052111872,10.390650672407844,0.0300303827008023,BBB,1,0,0,0,0,0,0,0,0,1
Materials,2017-02-28,CCK,0.1358886793414547,4.309523809523809,0.5511049723756906,2.9682539682539684,0.0774003410076746,0.0598744567841622,0.9304094176476716,3.68417104276069,5.356387306753458,0.1930248618784531,BB,0,1,0,0,0,0,0,0,0,0
Materials,2017-02-28,AA,0.0668395970320323,1.466165413533835,0.7164126196384261,-0.5037593984962406,1.1007061479644038,-0.042927666881305,0.5402305716504391,1.3041516245487366,6.773584905660377,0.3023750443105282,BB-,0,1,0,0,0,0,0,0,0,0
Information Technology,2017-02-28,XLNX,0.1541845548213781,12.692023433979273,3.769794155809624,12.070229833258225,0.1866424466060579,0.2657447630685828,0.4734535052028664,2.0990494588575497,3.359041871759449,3.3954017553193747,A-,1,0,0,0,0,0,0,1,0,0
Health Care,2017-02-28,THC,0.0943306533286485,1.4305694305694303,1.2223599405057015,0.8131868131868132,0.4704800026260355,-0.0095306049640691,0.8593174365410308,6.684925503943909,54.61102362204724,0.1774913237481408,B,0,0,0,0,0,1,0,0,0,0
Consumer Staples,2017-02-28,TSN,0.1669168948158615,12.825,0.7260558921949896,8.916666666666666,0.5490245314734199,0.0514751700035219,0.5666826724436355,1.638425925925926,10.94829097283085,0.1014741792529619,BBB,1,0,0,0,1,0,0,0,0,0
Utilities,2017-02-28,OGS,0.0861458938849826,5.684953209826992,0.922227002723384,3.9593992268531233,0.8752481757977645,0.0981585334409542,0.6179729225856404,3.23878493470138,6.055529352764527,0.0330297589951636,A-,1,0,0,0,0,0,0,0,0,1
Information Technology,2017-02-28,KLAC,0.2579610532679603,9.627480916030535,3.108818736018327,8.013724216339126,0.0782630559318106,0.2649975668592111,0.8531747880321983,2.4393633933087653,1.6420677014859577,2.3591555453909487,BBB,1,0,0,0,0,0,0,1,0,0
Industrials,2017-02-28,TPC,0.0666197173861204,3.3776052992539563,1.3206091341149733,2.602857047271754,1.2221643244686873,0.0192681551619158,0.6154570125438888,2.821613127324197,5.1221927909080085,0.1294367201402554,BB-,0,0,1,0,0,0,0,0,0,0
Industrials,2017-02-28,CR,0.1384424485937131,10.895890410958904,1.8686635944700465,4.364383561643836,0.2765866117500445,0.0446870451237263,0.6657817969661611,1.590482287665386,4.6911314984709485,0.9786866359447004,BBB,1,0,1,0,0,0,0,0,0,0
Industrials,2017-02-28,CSX,0.1331384043262885,5.853195164075993,1.0196078431372548,3.9602763385146806,0.6379404572554497,0.1548468696359201,0.6697916078387078,2.4078891257995734,16.85336856010568,0.5,BBB+,1,0,1,0,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,BBBY,0.2255388645392227,15.59005439005439,0.4765877711559098,10.322999222999222,0.3882322463153198,0.0594991857232765,0.6190671025485347,1.074137855139121,2.527432356239584,0.2658123179518626,BBB+,1,0,0,1,0,0,0,0,0,0
Industrials,2017-02-28,URI,0.2250841261268747,3.570731707317073,1.0920608108108107,2.3804878048780487,0.3985533879514316,0.0982297813259285,0.8625291958625292,2.8755998523440383,34.07299270072993,0.2635135135135135,BB-,0,0,1,0,0,0,0,0,0,0
Utilities,2017-02-28,XEL,0.0876975462496564,3.422215248868848,0.6891978332285713,2.736538636929265,0.8655495391704118,0.1011422608607967,0.7322129796380668,4.220074562318848,12.516159992084498,0.0260162862025541,A-,1,0,0,0,0,0,0,0,0,1
Consumer Staples,2017-02-28,COST,0.1478109360518999,28.705426356589147,0.4218377798951882,19.72093023255814,0.1815472380971132,0.0201926453619625,0.6502912707052282,1.0391252006420546,10.908780812791472,0.3233831586469748,A+,1,0,0,0,1,0,0,0,0,0
